Dish Name,Category,Ingredients
Kung Pao Chicken,Protein,"Chicken, Peanuts, Chili, Scallions"
Mapo Tofu,Other,"Tofu, Minced Pork, Doubanjiang"
Steamed Egg,Egg,Eggs
Stir-fried Cabbage,Vegetable,Cabbage
Braised Pork Belly,Protein,"Pork Belly, Soy Sauce, Sugar"
Tomato Scrambled Eggs,Egg,"Tomato, Eggs"
Spinach with Garlic,Vegetable,"Spinach, Garlic"
Grilled Salmon,Protein,Salmon
Omelette,Egg,Eggs
Boiled Broccoli,Vegetable,Broccoli
Beef Stir-fry,Protein,"Beef, Onions, Peppers"
Egg Drop Soup,Egg,"Eggs, Cornstarch"
Cauliflower Stir-fry,Vegetable,Cauliflower
Sweet and Sour Pork,Protein,"Pork, Pineapple, Peppers"
Soy Sauce Egg,Egg,Eggs
Green Beans with Pork,Vegetable,"Green Beans, Minced Pork"
Fried Chicken Wings,Protein,Chicken Wings
Tea Egg,Egg,Eggs
Mushrooms with Bok Choy,Vegetable,"Mushrooms, Bok Choy"
Steamed Fish,Protein,Fish
Ham and Egg Sandwhich,Egg,"Ham, Bread, Eggs"
Fried Rice with Egg,Egg,"Rice, Eggs, Peas"
Tofu Skin Salad,Other,"Tofu Skin, Cucumber"
Drunken Chicken,Protein,Chicken
Onion Scrambled Eggs,Egg,"Onion, Eggs"
Potato Shreds,Other,Potatoes
Stewed Beef Brisket,Protein,"Beef Brisket, Radish"
Corn Soup with Egg,Egg,"Corn, Eggs"
Cucumber Salad,Vegetable,"Cucumber, Garlic"
Roast Duck,Protein,Duck
Quail Eggs,Egg,Quail Eggs
Eggplant Casserole,Vegetable,"Eggplant, Minced Pork"
Spicy Shrimp,Protein,Shrimp
Scotch Egg,Egg,"Eggs, Sausage Meat"
Zucchini Stir-fry,Vegetable,Zucchini
Lamb Chops,Protein,Lamb
Egg Salad,Egg,"Eggs, Mayonnaise"
Kimchi,Other,Cabbage
Meatballs,Protein,"Minced Meat, Breadcrumbs"
Poached Egg,Egg,Eggs
Asparagus stir-fry,Vegetable,Asparagus
Fried Tofu,Other,Tofu
Seaweed Salad,Other,Seaweed
Miso Soup,Other,"Tofu, Miso"
Edamame,Other,Edamame
Corn Salad,Other,Corn
Pickled Radish,Other,Radish
Braised Tofu,Other,Tofu
Bean Curd Rolls,Other,Bean Curd
Tempura,Other,"Fish paste, Flour"
Fish Ball Soup,Other,Fish Ball
Clam Soup,Other,Clams
Squid Balls,Other,Squid
Sausage,Protein,Pork
Chicken Nuggets,Protein,Chicken
Grilled Mackerel,Protein,Fish
Pork Chop,Protein,Pork
Lemon Fish,Protein,Fish
Salt and Pepper Chicken,Protein,Chicken
Three Cup Chicken,Protein,Chicken
Ginger Duck,Protein,Duck
Garlic Pork,Protein,Pork
Lettuce Salad,Vegetable,Lettuce
Okra Salad,Vegetable,Okra
Bitter Melon Soup,Vegetable,Bitter Melon
Loofah with Clams,Vegetable,Loofah
Water Spinach,Vegetable,Water Spinach
Bean Sprouts,Vegetable,Bean Sprouts
Celery Stir-fry,Vegetable,Celery
Pepper Steak,Protein,Beef
Onion Rings,Vegetable,Onion
Hash Browns,Other,Potato
French Fries,Other,Potato
Sweet Potato Fries,Other,Sweet Potato
Jellyfish Salad,Other,Jellyfish
Pig's Blood Cake,Other,Rice Blood
Stinky Tofu,Other,Tofu
Celtuce,Vegetable,Celtuce
Bamboo Shoots,Vegetable,Bamboo
King Oyster Mushroom,Vegetable,Mushroom
Shiitake Mushrooms,Vegetable,Mushroom
Enoki Mushrooms,Vegetable,Mushroom
Wood Ear Mushrooms,Vegetable,Fungus
Pumpkin Soup,Vegetable,Pumpkin
Taro Balls,Other,Taro
Yam Stew,Other,Yam
Lotus Root Soup,Vegetable,Lotus Root
Burdock Root,Vegetable,Burdock
Kelp Soup,Other,Kelp
