Week,Ingredient,Count
1,櫛瓜,1
1,牛小排,2
1,吻仔魚,1
1,腐竹,1
1,娃娃菜,2
1,雞蛋,2
1,白花椰菜,1
1,虱目魚,1
1,紅蘿蔔,1
1,金針菇,1
1,皎白筍,1
1,鮭魚,1
1,鴻禧菇,1
2,高麗菜,1
2,茄子,2
2,青花菜,1
2,蝦子,2
2,雞蛋,3
2,豆腐,2
2,鴻禧菇,2
2,櫛瓜,1
2,吻仔魚,1
2,白花椰菜,1
2,虱目魚,1
2,干貝,1
2,皎白筍,1
2,豬頸肉,1
3,絲瓜,2
3,蛤蜊,2
3,牛絞肉,2
3,腐竹,1
3,金針菇,1
3,菠菜,1
3,牛小排,1
3,鴻禧菇,2
3,娃娃菜,2
3,雞蛋,1
3,豬頸肉,1
3,吻仔魚,1
3,干貝,1
3,白花椰菜,1
3,茄子,1
4,玉米,1
4,大比目魚,1
4,鴻禧菇,3
4,娃娃菜,3
4,豆腐,1
4,皎白筍,1
4,牛小排,2
4,雞蛋,4
4,紅蘿蔔,2
4,腐竹,1
4,虱目魚,1
4,櫛瓜,1
4,干貝,1
4,菠菜,1
4,蝦子,1
4,吻仔魚,1
5,高麗菜,1
5,牛絞肉,1
5,茄子,1
5,腐竹,1
5,茼蒿,1
5,豬頸肉,1
5,金針菇,1
5,豆腐,1
