Week,Ingredient,Count
1,Chicken,3
1,Peanuts,2
1,Chili,2
1,Scallions,2
1,Ham,1
1,Bread,1
1,Eggs,16
1,Asparagus,3
1,Cauliflower,2
1,Shrimp,3
1,Tomato,1
1,Tofu Skin,5
1,Cucumber,5
1,Chicken Wings,3
1,Lamb,3
1,Broccoli,3
1,Minced Meat,4
1,Breadcrumbs,4
1,Cornstarch,1
1,Mushrooms,2
1,Bok Choy,2
1,Spinach,1
1,Garlic,1
1,Eggplant,1
1,Minced Pork,3
1,Rice,1
1,Peas,1
1,Beef,2
1,Onions,2
1,Peppers,3
1,Corn,2
1,Cabbage,2
1,Pork,1
1,Pineapple,1
1,Mayonnaise,1
1,Green Beans,1
1,Tofu,1
1,Doubanjiang,1
1,Sausage Meat,1
